,time_zone,name,coordinates,code,country_code
191,America/Chicago,Bloomington,"{'lon': -88.91483, 'lat': 40.48401}",BMI,US
192,America/Detroit,Niles,"{'lon': -86.225, 'lat': 41.841667}",NLE,US
193,Africa/Abidjan,Abidjan,"{'lon': -3.933015, 'lat': 5.254879}",ABJ,CI
194,America/New_York,Waterville,"{'lon': -69.675835, 'lat': 44.53389}",WVL,US
195,America/Belize,Punta Gorda,"{'lon': -88.816666, 'lat': 16.1}",PND,BZ
196,America/Guyana,Port Kaituma,"{'lon': -59.88333, 'lat': 7.733333}",PKM,GY
197,Australia/Darwin,Borroloola,"{'lon': 136.28334, 'lat': -16.066668}",BOX,AU
198,America/New_York,West Palm Beach,"{'lon': -80.0533746, 'lat': 26.7153424}",PBI,US
199,Asia/Aden,Aden,"{'lon': 45.037537, 'lat': 12.826116}",ADE,YE
200,America/Anchorage,Wasilla,"{'lon': -149.43333, 'lat': 61.583332}",WWA,US
201,Pacific/Tahiti,Puka Puka,"{'lon': -138.96666, 'lat': -14.75}",PKP,PF
202,Africa/Johannesburg,Mala Mala,"{'lon': 31.533333, 'lat': -24.8}",AAM,ZA
203,Atlantic/Bermuda,Bermuda,"{'lon': -64.680683, 'lat': 32.3582815}",BDA,BM
204,Australia/Adelaide,Port Lincoln,"{'lon': 135.87454, 'lat': -34.603333}",PLO,AU
205,Asia/Shanghai,Wuxi,"{'lon': 120.42438, 'lat': 31.49289}",WUX,CN
206,Indian/Antananarivo,Bealanana,"{'lon': 48.7, 'lat': -14.533333}",WBE,MG
207,America/Anchorage,Newtok,"{'lon': -164.6486, 'lat': 60.92278}",WWT,US
208,America/Guatemala,Uaxactun,"{'lon': -89.632774, 'lat': 17.393888}",UAX,GT
209,Europe/London,Aberdeen,"{'lon': -2.095397, 'lat': 57.1474915}",ABZ,GB
210,Asia/Hong_Kong,Hong Kong,"{'lon': 114.2033843, 'lat': 22.2478599}",HKG,HK
211,Europe/Istanbul,Gaziantep,"{'lon': 37.473747, 'lat': 36.944935}",GZT,TR
212,Australia/Adelaide,Whyalla,"{'lon': 137.52197, 'lat': -33.05241}",WYA,AU
